IID	Ethnicity
HG00096	1000g_EUR
HG00097	1000g_EUR
HG00099	1000g_EUR
HG00100	1000g_EUR
HG00101	1000g_EUR
HG00102	1000g_EUR
HG00103	1000g_EUR
HG00105	1000g_EUR
HG00106	1000g_EUR
HG00107	1000g_EUR
HG00108	1000g_EUR
HG00109	1000g_EUR
HG00110	1000g_EUR
HG00111	1000g_EUR
HG00112	1000g_EUR
HG00113	1000g_EUR
HG00114	1000g_EUR
HG00115	1000g_EUR
HG00116	1000g_EUR
HG00117	1000g_EUR
HG00118	1000g_EUR
HG00119	1000g_EUR
HG00120	1000g_EUR
HG00121	1000g_EUR
HG00122	1000g_EUR
HG00123	1000g_EUR
HG00125	1000g_EUR
HG00126	1000g_EUR
HG00127	1000g_EUR
HG00128	1000g_EUR
HG00129	1000g_EUR
HG00130	1000g_EUR
HG00131	1000g_EUR
HG00132	1000g_EUR
HG00133	1000g_EUR
HG00136	1000g_EUR
HG00137	1000g_EUR
HG00138	1000g_EUR
HG00139	1000g_EUR
HG00140	1000g_EUR
HG00141	1000g_EUR
HG00142	1000g_EUR
HG00143	1000g_EUR
HG00145	1000g_EUR
HG00146	1000g_EUR
HG00148	1000g_EUR
HG00149	1000g_EUR
HG00150	1000g_EUR
HG00151	1000g_EUR
HG00154	1000g_EUR
HG00155	1000g_EUR
HG00157	1000g_EUR
HG00158	1000g_EUR
HG00159	1000g_EUR
HG00160	1000g_EUR
HG00171	1000g_EUR
HG00173	1000g_EUR
HG00174	1000g_EUR
HG00176	1000g_EUR
HG00177	1000g_EUR
HG00178	1000g_EUR
HG00179	1000g_EUR
HG00180	1000g_EUR
HG00181	1000g_EUR
HG00182	1000g_EUR
HG00183	1000g_EUR
HG00185	1000g_EUR
HG00186	1000g_EUR
HG00187	1000g_EUR
HG00188	1000g_EUR
HG00189	1000g_EUR
HG00190	1000g_EUR
HG00231	1000g_EUR
HG00232	1000g_EUR
HG00233	1000g_EUR
HG00234	1000g_EUR
HG00235	1000g_EUR
HG00236	1000g_EUR
HG00237	1000g_EUR
HG00238	1000g_EUR
HG00239	1000g_EUR
HG00240	1000g_EUR
HG00242	1000g_EUR
HG00243	1000g_EUR
HG00244	1000g_EUR
HG00245	1000g_EUR
HG00246	1000g_EUR
HG00250	1000g_EUR
HG00251	1000g_EUR
HG00252	1000g_EUR
HG00253	1000g_EUR
HG00254	1000g_EUR
HG00255	1000g_EUR
HG00256	1000g_EUR
HG00257	1000g_EUR
HG00258	1000g_EUR
HG00259	1000g_EUR
HG00260	1000g_EUR
HG00261	1000g_EUR
HG00262	1000g_EUR
HG00263	1000g_EUR
HG00264	1000g_EUR
HG00265	1000g_EUR
HG00266	1000g_EUR
HG00267	1000g_EUR
HG00268	1000g_EUR
HG00269	1000g_EUR
HG00271	1000g_EUR
HG00272	1000g_EUR
HG00273	1000g_EUR
HG00274	1000g_EUR
HG00275	1000g_EUR
HG00276	1000g_EUR
HG00277	1000g_EUR
HG00278	1000g_EUR
HG00280	1000g_EUR
HG00281	1000g_EUR
HG00282	1000g_EUR
HG00284	1000g_EUR
HG00285	1000g_EUR
HG00288	1000g_EUR
HG00290	1000g_EUR
HG00304	1000g_EUR
HG00306	1000g_EUR
HG00308	1000g_EUR
HG00309	1000g_EUR
HG00310	1000g_EUR
HG00311	1000g_EUR
HG00313	1000g_EUR
HG00315	1000g_EUR
HG00318	1000g_EUR
HG00319	1000g_EUR
HG00320	1000g_EUR
HG00321	1000g_EUR
HG00323	1000g_EUR
HG00324	1000g_EUR
HG00325	1000g_EUR
HG00326	1000g_EUR
HG00327	1000g_EUR
HG00328	1000g_EUR
HG00329	1000g_EUR
HG00330	1000g_EUR
HG00331	1000g_EUR
HG00332	1000g_EUR
HG00334	1000g_EUR
HG00335	1000g_EUR
HG00336	1000g_EUR
HG00337	1000g_EUR
HG00338	1000g_EUR
HG00339	1000g_EUR
HG00341	1000g_EUR
HG00342	1000g_EUR
HG00343	1000g_EUR
HG00344	1000g_EUR
HG00345	1000g_EUR
HG00346	1000g_EUR
HG00349	1000g_EUR
HG00350	1000g_EUR
HG00351	1000g_EUR
HG00353	1000g_EUR
HG00355	1000g_EUR
HG00356	1000g_EUR
HG00357	1000g_EUR
HG00358	1000g_EUR
HG00360	1000g_EUR
HG00361	1000g_EUR
HG00362	1000g_EUR
HG00364	1000g_EUR
HG00365	1000g_EUR
HG00366	1000g_EUR
HG00367	1000g_EUR
HG00368	1000g_EUR
HG00369	1000g_EUR
HG00371	1000g_EUR
HG00372	1000g_EUR
HG00373	1000g_EUR
HG00375	1000g_EUR
HG00376	1000g_EUR
HG00378	1000g_EUR
HG00379	1000g_EUR
HG00380	1000g_EUR
HG00381	1000g_EUR
HG00382	1000g_EUR
HG00383	1000g_EUR
HG00384	1000g_EUR
HG00403	1000g_EAS
HG00404	1000g_EAS
HG00406	1000g_EAS
HG00407	1000g_EAS
HG00409	1000g_EAS
HG00410	1000g_EAS
HG00419	1000g_EAS
HG00421	1000g_EAS
HG00422	1000g_EAS
HG00428	1000g_EAS
